compound_row_id	compound_class	candidate_protein_id	domain_family	n_domain_hits	tier	has_bgc_context	is_cross_ref_confirmed	is_extracellular	compound_log2fc	compound_q_value	reference_protein_id	ref_locus	gene_total_raw	n_rep_ge_min	rna_is_expressed	rna_no_evidence
2614.0	Amino acids and Peptides	FCC698BD_004035-T1	nrps	4	1	True	True	False	27.113916820247336	3.102730921661118e-05	XJO74646.1	BDV3_005439	2534	3	True	False
1761.0	Amino acids and Peptides	FCC698BD_004035-T1	nrps	4	1	True	True	False	26.848097393011088	3.102730921661118e-05	XJO74646.1	BDV3_005439	2534	3	True	False
7396.0	Amino acids and Peptides	FCC698BD_004035-T1	nrps	4	1	True	True	False	26.47883464260257	0.0049811963008813	XJO74646.1	BDV3_005439	2534	3	True	False
3208.0	Amino acids and Peptides	FCC698BD_004035-T1	nrps	4	1	True	True	False	26.244500262062694	4.617673114773783e-05	XJO74646.1	BDV3_005439	2534	3	True	False
7105.0	Amino acids and Peptides	FCC698BD_004035-T1	nrps	4	1	True	True	False	26.15390900217206	3.102730921661118e-05	XJO74646.1	BDV3_005439	2534	3	True	False
3120.0	Amino acids and Peptides	FCC698BD_004035-T1	nrps	4	1	True	True	False	24.817434124067773	4.617673114773783e-05	XJO74646.1	BDV3_005439	2534	3	True	False
5257.0	Amino acids and Peptides	FCC698BD_004035-T1	nrps	4	1	True	True	False	24.75354805446316	4.617673114773783e-05	XJO74646.1	BDV3_005439	2534	3	True	False
1689.0	Amino acids and Peptides	FCC698BD_004035-T1	nrps	4	1	True	True	False	24.71522563274879	3.102730921661118e-05	XJO74646.1	BDV3_005439	2534	3	True	False
1943.0	Amino acids and Peptides	FCC698BD_004035-T1	nrps	4	1	True	True	False	24.64599353036657	0.0049811963008813	XJO74646.1	BDV3_005439	2534	3	True	False
10850.0	Amino acids and Peptides	FCC698BD_004035-T1	nrps	4	1	True	True	False	24.62772511260976	0.0024918827435328	XJO74646.1	BDV3_005439	2534	3	True	False
1858.0	Amino acids and Peptides	FCC698BD_004035-T1	nrps	4	1	True	True	False	24.56913753514281	0.0123568427487148	XJO74646.1	BDV3_005439	2534	3	True	False
1953.0	Amino acids and Peptides	FCC698BD_004035-T1	nrps	4	1	True	True	False	24.449182718078763	3.102730921661118e-05	XJO74646.1	BDV3_005439	2534	3	True	False
6121.0	Amino acids and Peptides	FCC698BD_004035-T1	nrps	4	1	True	True	False	24.05884985993063	0.0007507700566491	XJO74646.1	BDV3_005439	2534	3	True	False
