protein_id	mer_id	pident	evalue	bitscore	merops_clan	merops_family	catalytic_type	is_inhibitor_family	signalp_positive	signal_cleavage_site	has_disqualifying_tm	has_gpi_anchor	is_extracellular	is_cross_ref_confirmed	ref_locus	gene_total_raw	n_rep_ge_min	rna_is_expressed
FCC698BD_002403-T1	MER0000941	56.156	5.78e-135	386.0	A01A	A01.018	aspartic	False	True	17.0	False	False	True	True	BDV3_004033	68285.0	3.0	True
FCC698BD_008320-T1	MER0001400	54.856	1.43e-128	384.0	M36	M36.001	metallo	False	True	20.0	False	False	True	True	BDV3_003222	46567.0	3.0	True
FCC698BD_002748-T1	MER0006285	45.623	1.63e-111	341.0	M36	M36.002	metallo	False	True	17.0	False	False	True	True	BDV3_004319	2119.0	3.0	True
FCC698BD_002711-T1	MER0006285	45.623	1.71e-111	341.0	M36	M36.002	metallo	False	True	17.0	False	False	True	True	BDV3_004285	768.0	3.0	True
FCC698BD_002710-T1	MER0001400	48.739	6.63e-111	337.0	M36	M36.001	metallo	False	True	14.0	False	False	True	True	BDV3_004284	257.0	3.0	True
FCC698BD_003888-T1	MER0006285	45.646	1.1e-109	335.0	M36	M36.002	metallo	False	True	17.0	False	False	True	True	BDV3_005304	37087.0	3.0	True
FCC698BD_005332-T1	MER0006285	42.632	2.47e-100	310.0	M36	M36.002	metallo	False	True	18.0	False	False	True	True	BDV3_006574	1326.0	3.0	True
FCC698BD_008023-T1	MER0006285	50.877	1.9e-96	301.0	M36	M36.002	metallo	False	True	19.0	False	False	True	True	BDV3_003006	5650.0	3.0	True
FCC698BD_004762-T1	MER0006285	39.529	9.329999999999999e-92	287.0	M36	M36.002	metallo	False	True	19.0	False	False	True	True	BDV3_006070	158.0	3.0	True
FCC698BD_007500-T1	MER0001400	44.932	9.72e-88	276.0	M36	M36.001	metallo	False	True	19.0	False	False	True	True	BDV3_002581	16894.0	3.0	True
FCC698BD_005878-T1	MER0003908	39.355	5.940000000000001e-85	261.0	M14A	M14.014	metallo	False	True	24.0	False	False	True	True	BDV3_007038	3562.0	3.0	True
FCC698BD_006330-T1	MER0000263	52.675	4.61e-80	253.0	S09C	S09.012	serine	False	True	23.0	False	False	True	True	BDV3_001582	23578.0	3.0	True
FCC698BD_005688-T1	MER0032443	41.762	4.42e-69	215.0	M28E	M28.022	metallo	False	True	20.0	False	False	True	True	BDV3_006874	6591.0	3.0	True
FCC698BD_002607-T1	MER0015691	44.526	1.1999999999999998e-67	221.0	M28B	M28.A02	metallo	False	True	20.0	False	False	True	True	BDV3_004188	12730.0	3.0	True
FCC698BD_005065-T1	MER0003908	41.852	1.5399999999999998e-67	214.0	M14A	M14.014	metallo	False	True	25.0	False	False	True	True	BDV3_006319	146.0	3.0	True
FCC698BD_005074-T1	MER0003908	41.481	5.22e-66	210.0	M14A	M14.014	metallo	False	True	25.0	False	False	True	True	BDV3_006327	46.0	3.0	True
FCC698BD_001422-T1	MER0015094	37.421	5.96e-66	208.0	M28A	M28.979	metallo	False	True	20.0	False	False	True	True	BDV3_000417	1189.0	3.0	True
FCC698BD_005689-T1	MER0032443	40.769	1.38e-62	198.0	M28E	M28.022	metallo	False	True	20.0	False	False	True	True	BDV3_006875	18279.0	3.0	True
FCC698BD_005259-T1	MER0033188	29.894	1.22e-35	134.0	S09X	S09.979	serine	False	True	21.0	False	False	True	True	BDV3_006510	694672.0	3.0	True
FCC698BD_008141-T1	MER0030934	45.161	6.61e-30	112.0	S09X	S09.948	serine	False	True	21.0	False	False	True	True	BDV3_003089	107.0	3.0	True
FCC698BD_002749-T1	MER0001400	48.739	6.63e-111	337.0	M36	M36.001	metallo	False	True	14.0	False	False	True	False				False
FCC698BD_008031-T1	MER0006285	45.378	5.3e-95	296.0	M36	M36.002	metallo	False	True	20.0	False	False	True	False				False
FCC698BD_008041-T1	MER0006285	45.378	5.3e-95	296.0	M36	M36.002	metallo	False	True	20.0	False	False	True	False				False
FCC698BD_004346-T1	MER0006285	48.936	1.27e-91	286.0	M36	M36.002	metallo	False	True	19.0	False	False	True	False				False
FCC698BD_004342-T1	MER0006285	48.936	1.3599999999999998e-91	286.0	M36	M36.002	metallo	False	True	19.0	False	False	True	False				False
FCC698BD_005978-T1	MER0001400	48.582	5.1e-91	283.0	M36	M36.001	metallo	False	True	19.0	False	False	True	False				False
FCC698BD_005997-T1	MER0001400	48.582	1.11e-90	283.0	M36	M36.001	metallo	False	True	19.0	False	False	True	False				False
FCC698BD_005957-T1	MER0006285	44.565	1.46e-90	285.0	M36	M36.002	metallo	False	True	19.0	False	False	True	False				False
FCC698BD_000405-T1	MER0001400	49.823	1.66e-88	280.0	M36	M36.001	metallo	False	True	18.0	False	False	True	False				False
FCC698BD_004954-T1	MER0006285	48.227	3.1000000000000002e-86	273.0	M36	M36.002	metallo	False	True	19.0	False	False	True	False				False
FCC698BD_005312-T1	MER0001400	44.792	2.2700000000000002e-85	269.0	M36	M36.001	metallo	False	True	19.0	False	False	True	False				False
FCC698BD_005273-T1	MER0001400	39.84	1.46e-84	267.0	M36	M36.001	metallo	False	True	19.0	False	False	True	False				False
FCC698BD_003182-T1	MER0006285	41.322	2.22e-84	266.0	M36	M36.002	metallo	False	True	19.0	False	False	True	False				False
FCC698BD_007455-T1	MER0006285	40.97	2.61e-84	265.0	M36	M36.002	metallo	False	True	19.0	False	False	True	False				False
FCC698BD_004796-T1	MER0006285	42.577	3.8999999999999998e-84	266.0	M36	M36.002	metallo	False	True	19.0	False	False	True	False				False
FCC698BD_002248-T1	MER0006285	45.745	5.64e-84	268.0	M36	M36.002	metallo	False	True	19.0	False	False	True	False				False
FCC698BD_002272-T1	MER0006285	45.745	5.64e-84	268.0	M36	M36.002	metallo	False	True	19.0	False	False	True	False				False
FCC698BD_000382-T1	MER0006285	46.127	5.7999999999999995e-84	270.0	M36	M36.002	metallo	False	True	18.0	False	False	True	False				False
FCC698BD_004486-T1	MER0001400	46.099	1.35e-83	266.0	M36	M36.001	metallo	False	True	19.0	False	False	True	False				False
FCC698BD_003017-T1	MER0006285	46.207	2.23e-82	263.0	M36	M36.002	metallo	False	True	19.0	False	False	True	False				False
FCC698BD_001628-T1	MER0006285	40.164	5.78e-81	258.0	M36	M36.002	metallo	False	True	19.0	False	False	True	False				False
FCC698BD_008088-T1	MER0006285	40.164	3.55e-80	257.0	M36	M36.002	metallo	False	True	19.0	False	False	True	False				False
FCC698BD_005371-T1	MER0006285	39.648	2.35e-36	135.0	M36	M36.002	metallo	False	True	19.0	False	False	True	False				False
FCC698BD_005350-T1	MER0005534	23.565	1.61e-13	68.6	A01A	A01.041	aspartic	False	True	17.0	False	False	True	False				False
FCC698BD_003773-T1	MER0005534	23.565	1.61e-13	68.6	A01A	A01.041	aspartic	False	True	17.0	False	False	True	False				False
FCC698BD_003528-T1	MER0026494	57.962	0.0	554.0	M20F	M20.005	metallo	False					False	True	BDV3_004984	17594.0	3.0	True
FCC698BD_005245-T1	MER0011746	72.755	0.0	516.0	M24A	M24.A02	metallo	False					False	True	BDV3_006496	20525.0	3.0	True
FCC698BD_007958-T1	MER0003372	50.0	2.18e-166	475.0	M18	M18.A01	metallo	False					False	True	BDV3_002983	13434.0	3.0	True
FCC698BD_004126-T1	MER0003541	53.349	2.5600000000000002e-161	464.0	S10	S10.A66	serine	False					False	True	BDV3_005524	53514.0	3.0	True
FCC698BD_001429-T1	MER0122119	65.677	1.51e-156	437.0	M67A	M67.A13	metallo	False					False	True	BDV3_000425	3842.0	3.0	True
FCC698BD_007922-T1	MER0006297	49.087	3.65e-151	462.0	S08A	S08.A56	serine	False					False	True	BDV3_002950	17076.0	3.0	True
FCC698BD_004066-T1	MER0437468	58.074	4.59e-150	434.0	C26	C26.A36	cysteine	False					False	True	BDV3_005468	5860.0	3.0	True
FCC698BD_005723-T1	MER0044357	47.537	8.56e-147	423.0	S33	S33.A41	serine	False					False	True	BDV3_006909	217.0	3.0	True
FCC698BD_001699-T1	MER0001271	50.0	2.65e-145	416.0	M20A	M20.973	metallo	False					False	True	BDV3_003375	16297.0	3.0	True
FCC698BD_007731-T1	MER0002179	56.836	6.04e-144	435.0	C19	C19.A59	cysteine	False					False	True	BDV3_002765	18254.0	3.0	True
FCC698BD_003535-T1	MER0001156	36.179	1.07e-140	428.0	M03A	M03.006	metallo	False					False	True	BDV3_004991	1838.0	3.0	True
FCC698BD_000540-T1	MER0002477	69.434	8.29e-140	397.0	C13	C13.005	cysteine	False	True	23.0	True	True	False	True	BDV3_000996	3309.0	3.0	True
FCC698BD_004027-T1	MER0003580	42.458	5.43e-138	410.0	T03	T03.011	threonine	False					False	True	BDV3_005431	7960.0	3.0	True
FCC698BD_000862-T1	MER0015270	42.268	3.04e-136	416.0	M16C	M16.A19	metallo	False					False	True	BDV3_001342	2553.0	3.0	True
FCC698BD_006551-T1	MER0001342	65.6	9.84e-126	358.0	M24A	M24.017	metallo	False					False	True	BDV3_001790	7363.0	3.0	True
FCC698BD_004842-T1	MER0001235	47.702	1.42e-123	367.0	M17	M17.001	metallo	False					False	True	BDV3_006145	24978.0	3.0	True
FCC698BD_007368-T1	MER0043126	59.929	3.2500000000000004e-123	350.0	S09X	S09.990	serine	False					False	True	BDV3_002494	2112.0	3.0	True
FCC698BD_004917-T1	MER0060647	52.821	2.9e-121	384.0	C26	C26.952	cysteine	False					False	True	BDV3_006201	6555.0	3.0	True
FCC698BD_002001-T1	MER0079520	45.396	7.13e-117	365.0	M17	M17.011	metallo	False					False	True	BDV3_003648	11966.0	3.0	True
