protein_id	mer_id	pident	evalue	bitscore	merops_clan	merops_family	catalytic_type	is_inhibitor_family	signalp_positive	signal_cleavage_site	has_disqualifying_tm	has_gpi_anchor	is_extracellular	is_cross_ref_confirmed	ref_locus	gene_total_raw	n_rep_ge_min	rna_is_expressed
F61BA062_000685-T1	MER0003541	52.732	3.1400000000000003e-157	453.0	S10	S10.A66	serine	False	True	20.0	False	False	True	True	BSLG_000445	15334.0	5.0	True
F61BA062_012490-T1	MER0006285	53.141	2.51e-128	384.0	M36	M36.002	metallo	False	True	30.0	False	False	True	True	BSLG_006696	349683.0	5.0	True
F61BA062_005728-T1	MER0000941	53.433	5.54e-127	366.0	A01A	A01.018	aspartic	False	True	15.0	False	False	True	True	BSLG_003303	1664.0	5.0	True
F61BA062_001279-T1	MER0006285	46.237	5.22e-113	343.0	M36	M36.002	metallo	False	True	17.0	False	False	True	True	BSLG_010816	5535.0	5.0	True
F61BA062_007068-T1	MER0006285	45.553	6.47e-104	318.0	M36	M36.002	metallo	False	True	19.0	False	False	True	True	BSLG_010801	119.0	5.0	True
F61BA062_006630-T1	MER0001400	43.117	3.22e-96	296.0	M36	M36.001	metallo	False	True	29.0	False	False	True	True	BSLG_010831	37.0	1.0	True
F61BA062_016312-T1	MER0001400	44.633	1.9699999999999997e-95	298.0	M36	M36.001	metallo	False	True	19.0	False	False	True	True	BSLG_010768	1555.0	5.0	True
F61BA062_012219-T1	MER0001400	43.333	5.1399999999999995e-95	298.0	M36	M36.001	metallo	False	True	16.0	False	False	True	True	BSLG_010777	82.0	4.0	True
F61BA062_006147-T1	MER0001400	51.418	1.34e-94	292.0	M36	M36.001	metallo	False	True	29.0	False	False	True	True	BSLG_010693	30.0	1.0	True
F61BA062_012388-T1	MER0006285	45.732	9.179999999999999e-94	289.0	M36	M36.002	metallo	False	True	29.0	False	False	True	True	BSLG_010838	52.0	2.0	True
F61BA062_011974-T1	MER0001400	42.328	1.6899999999999998e-90	281.0	M36	M36.001	metallo	False	True	19.0	False	False	True	True	BSLG_010741	199.0	5.0	True
F61BA062_016688-T1	MER0013997	44.037	9.72e-87	278.0	A01A	A01.068	aspartic	False	True	25.0	False	False	True	True	BSLG_009126	561.0	5.0	True
F61BA062_012220-T1	MER0006285	42.742	1.48e-83	265.0	M36	M36.002	metallo	False	True	18.0	False	False	True	True	BSLG_010723	73.0	4.0	True
F61BA062_009598-T1	MER0011311	40.066	1.08e-79	248.0	M14A	M14.A09	metallo	False	True	21.0	False	False	True	True	BSLG_005138	1112.0	5.0	True
F61BA062_016288-T1	MER0006285	46.099	2.4500000000000003e-79	254.0	M36	M36.002	metallo	False	True	29.0	False	False	True	True	BSLG_010821	48.0	3.0	True
F61BA062_011982-T1	MER0001400	40.533	6.07e-77	246.0	M36	M36.001	metallo	False	True	19.0	False	False	True	True	BSLG_010820	46.0	2.0	True
F61BA062_010303-T1	MER0001400	41.007	2.21e-71	230.0	M36	M36.001	metallo	False	True	19.0	False	False	True	True	BSLG_010769	72.0	4.0	True
F61BA062_019359-T1	MER0032443	40.458	2.09e-64	203.0	M28E	M28.022	metallo	False	True	20.0	False	False	True	True	BSLG_010491	8085.0	5.0	True
F61BA062_008802-T1	MER0001978	29.67	3.64e-58	200.0	T03	T03.001	threonine	False	True	28.0	False	False	True	True	BSLG_004727	201.0	5.0	True
F61BA062_008367-T1	MER0028330	49.057	8.15e-44	149.0	S01C	S01.329	serine	False	True	21.0	False	False	True	True	BSLG_004491	3732.0	5.0	True
F61BA062_016802-T1	MER0030934	31.362	4.04e-43	155.0	S09X	S09.948	serine	False	True	22.0	False	False	True	True	BSLG_009204	1204.0	5.0	True
F61BA062_002197-T1	MER0033198	31.398	1.31e-40	148.0	S09X	S09.980	serine	False	True	21.0	False	False	True	True	BSLG_001426	395.0	5.0	True
F61BA062_016553-T1	MER0000941	50.789	4.3900000000000005e-105	309.0	A01A	A01.018	aspartic	False	True	15.0	False	False	True	False				False
F61BA062_018049-T1	MER0001400	51.389	6.15e-105	319.0	M36	M36.001	metallo	False	True	19.0	False	False	True	True	BSLG_010791	2.0	0.0	False
F61BA062_015836-T1	MER0006285	45.478	8.21e-105	321.0	M36	M36.002	metallo	False	True	19.0	False	False	True	False				False
F61BA062_012813-T1	MER0001400	52.5	9.54e-105	317.0	M36	M36.001	metallo	False	True	19.0	False	False	True	False				False
F61BA062_018019-T1	MER0001400	51.389	1.12e-103	315.0	M36	M36.001	metallo	False	True	19.0	False	False	True	True	BSLG_010833	1.0	0.0	False
F61BA062_017518-T1	MER0001400	52.083	1.49e-103	315.0	M36	M36.001	metallo	False	True	29.0	False	False	True	True	BSLG_010865	1.0	0.0	False
F61BA062_019149-T1	MER0001400	51.389	3e-103	314.0	M36	M36.001	metallo	False	True	19.0	False	False	True	True	BSLG_010828	3.0	0.0	False
F61BA062_004573-T1	MER0006285	45.699	1.86e-102	313.0	M36	M36.002	metallo	False	True	26.0	False	False	True	False				False
F61BA062_012822-T1	MER0001400	52.083	3.35e-102	312.0	M36	M36.001	metallo	False	True	29.0	False	False	True	False				False
F61BA062_008671-T1	MER0006285	45.161	5.9e-101	311.0	M36	M36.002	metallo	False	True	29.0	False	False	True	False				False
F61BA062_017037-T1	MER0006285	45.876	1.04e-100	311.0	M36	M36.002	metallo	False	True	19.0	False	False	True	False				False
F61BA062_001278-T1	MER0001400	47.164	1.06e-100	311.0	M36	M36.001	metallo	False	True	20.0	False	False	True	False				False
F61BA062_014102-T1	MER0006285	44.588	1.7600000000000002e-100	310.0	M36	M36.002	metallo	False	True	19.0	False	False	True	False				False
F61BA062_008347-T1	MER0001400	45.968	2.57e-99	305.0	M36	M36.001	metallo	False	True	29.0	False	False	True	False				False
F61BA062_012663-T1	MER0006285	45.822	2.76e-99	304.0	M36	M36.002	metallo	False	True	29.0	False	False	True	False				False
F61BA062_015067-T1	MER0006285	45.093	3.1000000000000003e-99	309.0	M36	M36.002	metallo	False	True	17.0	False	False	True	True	BSLG_010746	10.0	0.0	False
F61BA062_010511-T1	MER0006285	45.699	6.9e-99	303.0	M36	M36.002	metallo	False	True	29.0	False	False	True	True	BSLG_010764	0.0	0.0	False
F61BA062_000283-T1	MER0001400	43.928	2.64e-98	302.0	M36	M36.001	metallo	False	True	29.0	False	False	True	False				False
F61BA062_005423-T1	MER0006285	45.43	2.8099999999999998e-98	305.0	M36	M36.002	metallo	False	True	29.0	False	False	True	False				False
F61BA062_006429-T1	MER0001400	42.706	5.31e-98	300.0	M36	M36.001	metallo	False	True	29.0	False	False	True	True	BSLG_010695	16.0	0.0	False
F61BA062_012841-T1	MER0001400	49.653	8.02e-98	300.0	M36	M36.001	metallo	False	True	29.0	False	False	True	False				False
F61BA062_000286-T1	MER0001400	44.444	1.05e-97	300.0	M36	M36.001	metallo	False	True	29.0	False	False	True	False				False
F61BA062_006166-T1	MER0001400	42.895	1.4e-97	300.0	M36	M36.001	metallo	False	True	29.0	False	False	True	False				False
F61BA062_019142-T1	MER0001400	50.0	1.9500000000000002e-97	300.0	M36	M36.001	metallo	False	True	19.0	False	False	True	True	BSLG_010724	1.0	0.0	False
F61BA062_012695-T1	MER0001400	48.311	3.68e-97	299.0	M36	M36.001	metallo	False	True	29.0	False	False	True	False				False
F61BA062_007158-T1	MER0001400	44.892	3.84e-97	299.0	M36	M36.001	metallo	False	True	19.0	False	False	True	True	BSLG_010807	4.0	0.0	False
F61BA062_006188-T1	MER0006285	44.533	5.740000000000001e-97	298.0	M36	M36.002	metallo	False	True	29.0	False	False	True	False				False
F61BA062_012666-T1	MER0006285	45.283	7.850000000000001e-97	298.0	M36	M36.002	metallo	False	True	29.0	False	False	True	False				False
F61BA062_019360-T1	MER0006285	45.272	1.2e-96	300.0	M36	M36.002	metallo	False	True	29.0	False	False	True	True	BSLG_010711	6.0	0.0	False
F61BA062_007871-T1	MER0006285	43.817	2.74e-96	296.0	M36	M36.002	metallo	False	True	29.0	False	False	True	True	BSLG_010698	0.0	0.0	False
F61BA062_015992-T1	MER0001400	43.122	2.89e-96	298.0	M36	M36.001	metallo	False	True	19.0	False	False	True	False				False
F61BA062_008216-T1	MER0006285	44.474	4.88e-96	296.0	M36	M36.002	metallo	False	True	19.0	False	False	True	False				False
F61BA062_002426-T1	MER0006285	43.28	8.78e-96	295.0	M36	M36.002	metallo	False	True	29.0	False	False	True	False				False
F61BA062_011983-T1	MER0006285	42.564	8.86e-96	295.0	M36	M36.002	metallo	False	True	29.0	False	False	True	False				False
F61BA062_016027-T1	MER0006285	43.548	1.26e-95	295.0	M36	M36.002	metallo	False	True	29.0	False	False	True	True	BSLG_010780	17.0	0.0	False
F61BA062_008188-T1	MER0001400	42.857	1.4199999999999999e-95	295.0	M36	M36.001	metallo	False	True	19.0	False	False	True	True	BSLG_010824	0.0	0.0	False
F61BA062_006191-T1	MER0001400	44.267	1.6099999999999998e-95	295.0	M36	M36.001	metallo	False	True	29.0	False	False	True	False				False
F61BA062_006186-T1	MER0001400	43.767	1.87e-95	294.0	M36	M36.001	metallo	False	True	29.0	False	False	True	False				False
F61BA062_000242-T1	MER0006285	43.011	4.23e-95	294.0	M36	M36.002	metallo	False	True	29.0	False	False	True	True	BSLG_000154	1.0	0.0	False
F61BA062_007170-T1	MER0001400	44.892	5.0999999999999996e-95	293.0	M36	M36.001	metallo	False	True	29.0	False	False	True	True	BSLG_010737	25.0	0.0	False
F61BA062_004208-T1	MER0006285	43.548	5.79e-95	293.0	M36	M36.002	metallo	False	True	19.0	False	False	True	True	BSLG_010733	1.0	0.0	False
F61BA062_004928-T1	MER0006285	50.0	6.939999999999999e-95	296.0	M36	M36.002	metallo	False	True	19.0	False	False	True	False				False
F61BA062_008580-T1	MER0006285	44.444	7.239999999999999e-95	295.0	M36	M36.002	metallo	False	True	19.0	False	False	True	False				False
F61BA062_014732-T1	MER0006285	50.0	7.719999999999999e-95	296.0	M36	M36.002	metallo	False	True	29.0	False	False	True	False				False
F61BA062_007166-T1	MER0001400	43.386	2.09e-94	292.0	M36	M36.001	metallo	False	True	29.0	False	False	True	True	BSLG_010805	2.0	0.0	False
F61BA062_004231-T1	MER0006285	45.732	2.58e-94	291.0	M36	M36.002	metallo	False	True	19.0	False	False	True	True	BSLG_010719	0.0	0.0	False
F61BA062_012369-T1	MER0006285	45.732	3.6599999999999996e-94	291.0	M36	M36.002	metallo	False	True	29.0	False	False	True	True	BSLG_010770	0.0	0.0	False
F61BA062_011711-T1	MER0006285	51.064	5.33e-94	295.0	M36	M36.002	metallo	False	True	29.0	False	False	True	True	BSLG_010753	2.0	0.0	False
